"Name","URI","Region GSS code","Period","Sales volume","Reporting period","Average price All property types","Average price Detached houses","Average price Semi-detached houses","Average price Terraced houses","Average price Flats and maisonettes","Pivotable date"
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1968-04,,quarterly,3595,,,,,1968-04-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1968-05,,quarterly,3595,,,,,1968-05-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1968-06,,quarterly,3595,,,,,1968-06-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1968-07,,quarterly,3716,,,,,1968-07-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1968-08,,quarterly,3716,,,,,1968-08-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1968-09,,quarterly,3716,,,,,1968-09-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1968-10,,quarterly,3696,,,,,1968-10-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1968-11,,quarterly,3696,,,,,1968-11-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1968-12,,quarterly,3696,,,,,1968-12-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1969-01,,quarterly,3757,,,,,1969-01-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1969-02,,quarterly,3757,,,,,1969-02-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1969-03,,quarterly,3757,,,,,1969-03-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1969-04,,quarterly,3818,,,,,1969-04-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1969-05,,quarterly,3818,,,,,1969-05-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1969-06,,quarterly,3818,,,,,1969-06-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1969-07,,quarterly,3859,,,,,1969-07-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1969-08,,quarterly,3859,,,,,1969-08-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1969-09,,quarterly,3859,,,,,1969-09-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1969-10,,quarterly,3899,,,,,1969-10-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1969-11,,quarterly,3899,,,,,1969-11-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1969-12,,quarterly,3899,,,,,1969-12-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1970-01,,quarterly,3920,,,,,1970-01-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1970-02,,quarterly,3920,,,,,1970-02-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1970-03,,quarterly,3920,,,,,1970-03-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1970-04,,quarterly,3980,,,,,1970-04-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1970-05,,quarterly,3980,,,,,1970-05-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1970-06,,quarterly,3980,,,,,1970-06-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1970-07,,quarterly,4163,,,,,1970-07-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1970-08,,quarterly,4163,,,,,1970-08-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1970-09,,quarterly,4163,,,,,1970-09-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1970-10,,quarterly,4163,,,,,1970-10-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1970-11,,quarterly,4163,,,,,1970-11-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1970-12,,quarterly,4163,,,,,1970-12-01
